player_modelo,nacion,goles_int,xg_int,remates_int,n_part,score_match,factor_xg
Marcos André,BRA,0,0.17,1,4,85.5,1.0
Marcos Acuña,ARG,0,0.02,1,2,85.5,1.0
Marcos López,PER,0,0.02,1,3,85.5,1.0
Mario Mitaj,ALB,0,0.03,1,3,100.0,1.0
Brian Ocampo,URU,0,0.13,1,1,85.5,1.0
Paul Onuachu,NGA,0,0.14,1,4,100.0,1.0
Salih Özcan,TUR,0,0.03,1,4,100.0,1.0
Santiago Arias,COL,0,0.02,1,3,90.0,1.0
Saša Lukić,SRB,0,0.09,1,3,100.0,1.0
Selim Amallah,MAR,0,0.07,1,3,100.0,1.0
Andreas Skov Olsen,DEN,0,0.04,1,3,100.0,1.0
Andrei Burcă,ROU,0,0.11,1,4,90.0,1.0
Damion Lowe,JAM,0,0.02,1,3,100.0,1.0
Ricardo Pereira,POR,0,0.23,1,1,85.5,1.0
Danilo,BRA,0,0.08,1,4,90.0,1.0
Joe Scally,USA,0,0.02,1,3,87.0,1.0
Josip Stanišić,CRO,0,0.22,1,2,100.0,1.0
Malik Tillman,USA,0,0.06,1,1,100.0,1.0
Benjamin Henrichs,GER,0,0.02,1,1,100.0,1.0
Nicolas Jackson,SEN,0,0.07,1,4,100.0,1.0
Nicolas Seiwald,AUT,0,0.03,1,4,100.0,1.0
Nicolò Barella,ITA,1,0.08,1,4,100.0,1.0
Iliman Ndiaye,SEN,1,0.15,1,4,100.0,1.0
Fabian Rieder,SUI,0,0.01,1,5,100.0,1.0
Petar Stojanović,SVN,0,0.02,1,4,100.0,1.0
Piero Hincapié,ECU,0,0.01,1,4,85.5,1.0
Ariel Lassiter,CRC,0,0.02,1,2,100.0,1.0
Attila Szalai,HUN,0,0.1,1,2,100.0,1.0
Rafael Borré,COL,0,0.31,1,4,85.5,1.0
Pascal Groß,GER,0,0.03,1,1,100.0,1.0
Manuel Akanji,SUI,0,0.78,1,5,85.5,1.0
Medon Berisha,ALB,0,0.03,1,1,100.0,1.0
Zeki Çelik,TUR,0,0.24,1,3,90.0,1.0
Matheus Nunes,POR,0,0.19,1,2,95.0,1.0
Mathieu Choinière,CAN,1,0.78,1,2,100.0,1.0
Nahuel Molina,ARG,0,0.15,1,5,90.0,1.0
Nayef Aguerd,MAR,0,0.06,1,4,100.0,1.0
Joakim Mæhle,DEN,0,0.09,1,4,100.0,1.0
Pavel Kadeřábek,CZE,0,0.06,1,1,85.5,1.0
Paweł Dawidowicz,POL,0,0.07,1,2,100.0,1.0
Ismael Saibari,MAR,0,0.1,1,2,100.0,1.0
Jack Hendry,SCO,0,0.07,1,3,100.0,1.0
Jerdy Schouten,NED,0,0.07,1,6,100.0,1.0
